Canto, Estrofe e Verso;Versão 1;Versão 2
Canto 1, estrofe 25, verso 2;Cum poder tam singelo & tam pequeno;Cum poder tam singelo, & tam pequeno,
Canto 1, estrofe 25, verso 5;Pois contra o Castelhano tam temido;Pois contra o Castelhano tam temido,
Canto 1, estrofe 25, verso 7;Assi que sempre em fim com fama & gloria,;Assi que sempre em fim com fama & gloria
Canto 1, estrofe 26, verso 1;Deixo Deoses atras a fama antigua,;Deixo Deoses atras a fama antiga,
Canto 1, estrofe 26, verso 2;Que co a gente de Romulo alcançarão,;Que co a gente de Romulo alcançáram,
Canto 1, estrofe 26, verso 4;Guerra Romana tanto se affamarão.;Guerra Romana tanto se affamáram.
Canto 1, estrofe 26, verso 5;Tambem deixo a memoria, que os obriga;Tambem deixo a memoria que os obriga
Canto 1, estrofe 26, verso 6;A grande nome, quando aleuantarão;A grande nome, quando aleuantáram
Canto 1, estrofe 26, verso 7;Hum, por seu capitão, que peregrino;Hum por seu capitam, que peregrino
Canto 1, estrofe 27, verso 3;Por vias nunca vsadas, não temendo;Por vias nunca vsadas, nam temendo
Canto 1, estrofe 27, verso 4;De Affrico & Noto a força a mais satreue:;De Africo & Noto a força a mais satreue:
Canto 1, estrofe 27, verso 7;Inclinão seu proposito, & perfia;Inclinam seu proposito, & perfia
Canto 1, estrofe 27, verso 8;A ver os berços, onde nasce o dia;A ver os berços, onde nasce o dia.
Canto 1, estrofe 28, verso 3;Que tenhão longos tempos o gouerno;Que tenham longos tempos o gouerno
Canto 1, estrofe 28, verso 4;Do mar, que vé do Sol a roxa entrada:;Do mar, que vè do Sol a roxa entrada:
Canto 1, estrofe 29, verso 3;Tantos Climas & Ceos experimentados,;Tantos climas, & ceos experimentados,
Canto 1, estrofe 29, verso 6;Nesta costa Affricana como amigos.;Nesta costa Africana, como amigos.
Canto 1, estrofe 29, verso 8;Tornarão a seguir sua longa rata:;Começáram a seguir sua longa rota.
Canto 1, estrofe 30, verso 2;Quando os Deoses por ordem respondendo,;Quando os Deoses per ordem respondendo,
